Architecture    Offer                                               Publisher                           Sku                                                Urn                                                                                                                               Version
x64             gnucash_on_windows_server_2012r2                    askforcloudllc1651766049149         gnucash_on_windows_server_2012r2                   askforcloudllc1651766049149:gnucash_on_windows_server_2012r2:gnucash_on_windows_server_2012r2:0.0.1                               0.0.1
x64             dc-plus-plus-on-windows-server-2012-r2              apps-4-rent                         dc-plus-plus-on-windows-server-2012-r2             apps-4-rent:dc-plus-plus-on-windows-server-2012-r2:dc-plus-plus-on-windows-server-2012-r2:1.0.1                                   1.0.1
x64             gnucash_on_windows_server_2016                      askforcloudllc1651766049149         gnucash_on_windows_server_2016                     askforcloudllc1651766049149:gnucash_on_windows_server_2016:gnucash_on_windows_server_2016:0.0.1                                   0.0.1
x64             dc-plus-plus-on-windows-server-2012-r2              apps-4-rent                         dc-plus-plus-on-windows-server-2012-r2-v1          apps-4-rent:dc-plus-plus-on-windows-server-2012-r2:dc-plus-plus-on-windows-server-2012-r2-v1:1.0.2                                1.0.2
x64             gnucash_on_windows_server_2019                      askforcloudllc1651766049149         gnucash_on_windows_server_2019                     askforcloudllc1651766049149:gnucash_on_windows_server_2019:gnucash_on_windows_server_2019:0.0.1                                   0.0.1
x64             dev-tool-windows-2016                               apps-4-rent                         iis-with-python-djan-php                           apps-4-rent:dev-tool-windows-2016:iis-with-python-djan-php:1.0.2                                                                  1.0.2
x64             gnucash_on_windows_server_2022                      askforcloudllc1651766049149         gnucash_on_windows_server_2022                     askforcloudllc1651766049149:gnucash_on_windows_server_2022:gnucash_on_windows_server_2022:0.0.1                                   0.0.1
x64             diagram-editor-on-windows-server-2019               apps-4-rent                         diagram-editor-on-windows-server2022               apps-4-rent:diagram-editor-on-windows-server-2019:diagram-editor-on-windows-server2022:1.0.0                                      1.0.0
x64             golang_on_windows_server_2012r2                     askforcloudllc1651766049149         golang_on_windows_server_2012r2                    askforcloudllc1651766049149:golang_on_windows_server_2012r2:golang_on_windows_server_2012r2:0.0.1                                 0.0.1
x64             diagram-editor-on-windows-server2022                apps-4-rent                         diagram-editor-on-windows-server2022               apps-4-rent:diagram-editor-on-windows-server2022:diagram-editor-on-windows-server2022:1.0.0                                       1.0.0
x64             golang_on_windows_server_2016                       askforcloudllc1651766049149         golang_on_windows_server_2016                      askforcloudllc1651766049149:golang_on_windows_server_2016:golang_on_windows_server_2016:0.0.1                                     0.0.1
x64             docuwiki-on-windows-2019                            apps-4-rent                         dokuwiki-on-windows-2019                           apps-4-rent:docuwiki-on-windows-2019:dokuwiki-on-windows-2019:1.0.1                                                               1.0.1
x64             golang_on_windows_server_2019                       askforcloudllc1651766049149         golang_on_windows_server_2019                      askforcloudllc1651766049149:golang_on_windows_server_2019:golang_on_windows_server_2019:0.0.1                                     0.0.1
x64             dokuwiki-on-windows-2016                            apps-4-rent                         dokuwiki-on-windows-2016                           apps-4-rent:dokuwiki-on-windows-2016:dokuwiki-on-windows-2016:1.0.0                                                               1.0.0
x64             golang_on_windows_server_2022                       askforcloudllc1651766049149         golang_on_windows_server_2022                      askforcloudllc1651766049149:golang_on_windows_server_2022:golang_on_windows_server_2022:0.0.1                                     0.0.1
x64             dolibarr-on-windows-server-2016                     apps-4-rent                         dolibarr-on-windows-server-2016                    apps-4-rent:dolibarr-on-windows-server-2016:dolibarr-on-windows-server-2016:1.0.0                                                 1.0.0
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1:2.5.1                                      2.5.1
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1:2.5.2                                      2.5.2
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1:2.5.3                                      2.5.3
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1:2.5.4                                      2.5.4
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1:2.6.1                                      2.6.1
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.4.10                            2.4.10
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.5.1                             2.5.1
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.5.2                             2.5.2
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.5.3                             2.5.3
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.5.4                             2.5.4
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.6.1                             2.6.1
x64             hmailserver_windows_server2012r2                    askforcloudllc1651766049149         hmailserver_windows_server2012r2                   askforcloudllc1651766049149:hmailserver_windows_server2012r2:hmailserver_windows_server2012r2:0.0.1                               0.0.1
x64             dolibarr-on-windows-server-2019                     apps-4-rent                         dolibarr-on-windows-server-2019                    apps-4-rent:dolibarr-on-windows-server-2019:dolibarr-on-windows-server-2019:1.0.0                                                 1.0.0
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po:2.5.1                                2.5.1
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po:2.5.2                                2.5.2
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po:2.5.3                                2.5.3
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po:2.5.4                                2.5.4
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po:2.6.1                                2.6.1
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po-jan-2022:2.5.1                       2.5.1
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po-jan-2022:2.5.2                       2.5.2
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po-jan-2022:2.5.3                       2.5.3
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po-jan-2022:2.5.4                       2.5.4
x64             cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-vw-po-jan-2022:2.6.1                       2.6.1
x64             hmailserver_windows_server2016                      askforcloudllc1651766049149         hmailserver_windows_server2016                     askforcloudllc1651766049149:hmailserver_windows_server2016:hmailserver_windows_server2016:0.0.1                                   0.0.1
x64             dotnet-on-windows2016                               apps-4-rent                         dotnet-on-windows2016                              apps-4-rent:dotnet-on-windows2016:dotnet-on-windows2016:1.0.0                                                                     1.0.0
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.5.1                                      2.5.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.5.2                                      2.5.2
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.5.3                                      2.5.3
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.5.4                                      2.5.4
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.6.1                                      2.6.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.6.2                                      2.6.2
x64             hmailserver_windows_server2019                      askforcloudllc1651766049149         hmailserver_windows_server2019                     askforcloudllc1651766049149:hmailserver_windows_server2019:hmailserver_windows_server2019:0.0.1                                   0.0.1
x64             dotnet-on-windows2019                               apps-4-rent                         dotnet-on-windows2019                              apps-4-rent:dotnet-on-windows2019:dotnet-on-windows2019:1.0.0                                                                     1.0.0
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.4.10                            2.4.10
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.5.1                             2.5.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.5.2                             2.5.2
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.5.3                             2.5.3
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.5.4                             2.5.4
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.6.1                             2.6.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.6.2                             2.6.2
x64             hmailserver_windows_server2022                      askforcloudllc1651766049149         hmailserver_windows_server2022                     askforcloudllc1651766049149:hmailserver_windows_server2022:hmailserver_windows_server2022:0.0.1                                   0.0.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po:2.5.1                                2.5.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po:2.5.2                                2.5.2
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po:2.5.3                                2.5.3
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po:2.5.4                                2.5.4
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po:2.6.1                                2.6.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po                             center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po:2.6.2                                2.6.2
x64             dotnet-on-windows2022                               apps-4-rent                         dotnet-on-windows2022                              apps-4-rent:dotnet-on-windows2022:dotnet-on-windows2022:1.0.0                                                                     1.0.0
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po-jan-2022:2.5.1                       2.5.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po-jan-2022:2.5.2                       2.5.2
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po-jan-2022:2.5.3                       2.5.3
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po-jan-2022:2.5.4                       2.5.4
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po-jan-2022:2.6.1                       2.6.1
x64             cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-vw-po-jan-2022                    center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-vw-po-jan-2022:2.6.2                       2.6.2
x64             influxdb_oss_on_windows_server_2019                 askforcloudllc1651766049149         influxdb_oss_on_windows_server_2019                askforcloudllc1651766049149:influxdb_oss_on_windows_server_2019:influxdb_oss_on_windows_server_2019:0.0.1                         0.0.1
